,x
249,6815
250,105025
251,159619
252,9069
253,66791
254,36664
255,17483
256,182626
257,61823
258,14717
259,43907
260,125758
261,21321
262,6643
263,128596
264,84904
265,138768
266,92346
267,78395
268,74864
269,171234
270,77408
271,167618
272,16875
273,55769
274,91840
275,98562
276,147529
277,133905
278,105895
279,12505
280,185527
281,182818
282,112702
283,196227
284,190907
285,109972
286,46341
287,81994
288,16038
289,172554
290,189217
291,149460
292,148340
293,23072
294,181664
295,37650
296,107203
297,140136
298,187707
299,168908
300,130953
301,21617
302,55583
303,53754
304,135944
305,197386
306,9418
307,65207
308,35846
309,135170
310,166084
311,23131
312,134110
313,93856
314,95770
315,86189
316,104696
317,95346
318,74740
319,16050
320,71439
321,104136
322,14906
323,156486
324,179971
325,39497
326,96085
327,110951
328,192107
329,186327
330,195690
331,160549
332,75756
333,7903
334,146924
335,3591
336,160688
337,28248
338,59794
339,80989
340,10239
341,89484
342,142881
343,130402
344,148081
345,189043
346,117412
347,133481
348,39110
349,120276
350,186497
351,167393
352,133458
353,146090
354,138246
355,190467
356,125297
357,178620
358,114358
359,129535
360,133662
361,53433
362,145070
363,9842
364,98605
365,184036
366,3907
367,192286
368,2918
369,192500
370,25289
371,4391
372,195981
373,173944
374,180839
375,81759
376,109078
377,6649
378,72205
379,148171
380,54292
381,120313
382,35412
383,158058
384,12800
385,52902
386,192531
387,170603
388,140489
389,8486
390,193690
391,29266
392,132405
393,78283
394,108365
395,147746
396,107718
397,49227
398,68630
399,159883
400,175356
401,29500
402,158655
403,75428
404,138563
405,131396
406,183729
407,19307
408,95281
409,149814
410,41013
411,101149
412,103672
413,44223
414,9950
415,167340
416,57556
417,185908
418,67798
419,134140
420,91289
421,2334
422,134286
423,30979
424,152058
425,26132
426,176046
427,33055
428,146509
429,41472
430,67864
431,74863
432,8010
433,148449
434,64229
435,13072
436,80842
437,137274
438,172486
439,75717
440,89007
441,3254
442,172439
443,21490
444,57486
445,157058
446,17533
447,161583
448,74533
449,94569
450,150901
451,167009
452,107280
453,50817
454,117450
455,12396
456,164024
457,7559
458,54921
459,176884
460,174655
461,84759
462,165876
463,34744
464,112134
465,40347
466,168771
467,130914
468,41969
469,56243
470,10030
471,174732
472,43430
473,67337
474,92521
475,134922
476,144402
477,25844
478,164025
479,19732
480,46117
481,50977
482,117237
483,4607
484,16535
485,85079
486,189097
487,153023
488,99353
489,82583
490,191002
491,15738
492,125955
493,144
494,193951
495,121242
496,30963
497,161498
498,197155
499,100383
500,180613
501,112596
502,85332
503,103514
504,76567
505,93636
506,153113
507,33868
508,40931
509,178414
510,89002
511,36038
512,176981
513,40166
514,45227
515,105817
516,136504
517,177237
518,105540
519,137374
520,26517
521,146890
522,2125
523,109129
524,160950
525,102542
526,57829
527,140599
528,148545
529,144127
530,105644
531,33803
532,195608
533,119234
534,130767
535,184099
536,43772
537,123262
538,50393
539,61894
540,56312
541,87197
542,173158
543,56433
544,89133
545,73917
546,188545
547,39792
548,58160
549,55112
550,34297
551,27548
552,91311
553,159265
554,71037
555,44409
556,92794
557,44463
558,115915
559,895
560,146218
561,149896
562,131784
563,168899
564,69680
565,103339
566,97832
567,172124
568,120517
569,38944
570,30742
571,158366
572,28983
573,128019
574,142373
575,77993
576,150818
577,89373
578,164349
579,116362
580,120567
581,122469
582,143404
583,136976
584,131709
585,29633
586,40249
587,182757
588,114841
589,149981
590,167780
591,142176
592,123838
593,84356
594,147764
595,7207
596,34629
597,109056
598,115918
599,28414
600,32038
601,6459
602,127612
603,21459
604,91895
605,103630
606,23177
607,95364
608,15175
609,197683
610,61519
611,14120
612,102052
613,45615
614,90303
615,129136
616,8046
617,105277
618,174441
619,80503
620,44937
621,192023
622,10975
623,98146
624,176805
625,52917
626,30363
627,70761
628,35273
629,24562
630,161274
631,116070
632,102862
633,158483
634,131007
635,137679
636,177643
637,111554
638,14486
639,130471
640,81879
641,62269
642,58872
643,64542
644,101368
645,40884
646,110418
647,12716
648,161444
649,38489
650,102720
651,35953
652,189026
653,36697
654,25162
655,64461
656,75857
657,101586
658,163637
659,76547
660,41512
661,96782
662,30732
663,181171
664,177109
665,135828
666,74731
667,38927
668,41668
669,152099
670,76171
671,49916
672,41762
673,155085
674,154413
675,122093
676,66860
677,170488
678,38096
679,58732
680,170847
681,59685
682,92042
683,19584
684,105900
685,68567
686,100493
687,161664
688,55779
689,91294
690,81399
691,69203
692,47975
693,191463
694,172413
695,60179
696,115609
697,182492
698,18100
699,37258
700,67525
701,132913
702,73502
703,151125
704,124006
705,82967
706,53546
707,184502
708,80130
709,23243
710,19197
711,96706
712,6280
713,38335
714,33134
715,78196
716,52566
717,92008
718,141009
719,9775
720,43119
721,194829
722,137513
723,181324
724,88592
725,24653
726,165213
727,92910
728,62787
729,3784
730,79538
731,173023
732,166174
733,25798
734,53759
735,140605
736,81369
737,153751
738,127053
739,84592
740,39439
741,138558
742,112324
743,159359
744,171881
745,61413
746,50117
747,84736
748,1858
749,108168
750,117984
751,188166
752,16131
753,84868
754,136819
755,176223
756,78401
757,93594
758,184301
759,81307
760,11643
761,59573
762,8100
763,78204
764,98569
765,160173
766,55951
767,182745
768,141960
769,177387
770,96577
771,78425
772,6993
773,19995
774,47758
775,10284
776,95756
777,183191
778,195059
779,63641
780,172798
781,100828
782,45407
783,74758
784,177889
785,156464
786,67191
787,103265
788,41347
789,138522
790,60922
791,80156
792,172116
793,92771
794,3978
795,162189
796,190727
797,55200
798,171191
799,100036
800,146186
801,140452
802,176329
803,100720
804,138352
805,83921
806,98889
807,191451
808,60076
809,47259
810,33314
811,128465
812,165859
813,186084
814,111848
815,11221
816,116710
817,194004
818,109051
819,44520
820,122751
821,44771
822,183435
823,47015
824,88460
825,10114
826,178170
827,1942
828,158979
829,65477
830,88395
831,113685
832,101857
833,15706
834,61956
835,179907
836,86496
837,154534
838,54300
839,140691
840,150172
841,83245
842,164765
843,111558
844,16869
845,180380
846,78982
847,124627
848,156514
849,106836
850,98738
851,130324
852,86733
853,20474
854,30775
855,10954
856,101247
857,159830
858,101929
859,90739
860,68226
861,9152
862,79634
863,2789
864,82019
865,83236
866,24861
867,184154
868,115289
869,181689
870,167187
871,36639
872,66910
873,53164
874,113729
875,65801
876,10409
877,109660
878,98565
879,179545
880,45810
881,80532
882,176043
883,197229
884,33027
885,137184
886,23204
887,196600
888,17022
889,133987
890,108319
891,108321
892,192634
893,9547
894,20417
895,142701
896,175248
897,123189
898,89977
899,15904
900,148379
901,41989
902,8140
903,190905
904,143526
905,131185
906,4409
907,192786
908,82777
909,36302
910,17462
911,117342
912,15509
913,106833
914,167362
915,104179
916,91438
917,167799
918,184699
919,78085
920,188242
921,176219
922,88132
923,53958
924,60009
925,22583
926,125128
927,62349
928,150180
929,179330
930,102634
931,129522
932,127788
933,109366
934,59336
935,21502
936,147770
937,32550
938,193007
939,170124
940,179422
941,166137
942,134645
943,95313
944,36264
945,84662
946,602
947,111530
948,56253
949,11605
950,109231
951,171698
952,134722
953,113056
954,33152
955,41944
956,63747
957,68741
958,65805
959,59205
960,149056
961,85226
962,7126
963,107953
964,136636
965,118683
966,171503
967,178377
968,109018
969,130931
970,26873
971,31899
972,15035
973,29887
974,40402
975,153726
976,109828
977,158798
978,22025
979,69139
980,54405
981,20368
982,132687
983,122107
984,125602
985,141294
986,165270
987,121350
988,195513
989,48434
990,114402
991,94277
992,49374
993,109567
994,93759
995,14121
996,68594
997,177086
998,60390
999,133820
1000,191105
1001,98397
1002,94556
1003,1343
1004,113962
1005,20814
1006,75974
1007,149194
1008,76630
1009,166899
1010,154602
1011,74820
1012,116299
1013,115700
1014,80827
1015,163638
1016,141921
1017,32355
1018,153708
1019,98319
1020,173172
1021,121467
1022,88387
1023,64952
1024,20048
1025,74807
1026,101991
1027,128215
1028,105912
1029,106020
1030,57368
1031,110487
1032,152142
1033,164952
1034,78017
1035,79915
1036,41852
1037,3338
1038,138958
1039,141930
1040,103283
1041,61075
1042,130576
1043,92222
1044,150298
1045,127683
1046,22049
1047,154116
1048,69175
1049,150912
1050,7969
1051,114909
1052,94012
1053,109220
1054,182534
1055,9616
1056,129796
1057,32167
1058,81955
1059,55434
1060,119432
1061,48779
1062,166904
1063,142335
1064,111432
1065,104208
1066,129199
1067,103740
1068,55101
1069,148268
1070,142927
1071,42844
1072,134539
1073,7411
1074,124063
1075,169459
1076,106720
1077,109093
1078,128634
1079,115526
1080,118882
1081,159116
1082,40853
1083,71344
1084,45821
1085,60868
1086,9784
1087,80153
1088,50770
1089,43023
1090,101323
1091,162241
1092,99343
1093,190917
1094,143559
1095,176188
1096,153138
1097,157077
1098,155148
1099,37714
1100,104837
1101,94991
1102,184570
1103,161340
1104,75900
1105,4945
1106,94725
1107,140760
1108,129622
1109,108244
1110,90769
1111,81441
1112,150577
1113,39770
1114,131039
1115,103354
1116,55970
1117,15799
1118,98414
1119,136002
1120,138016
1121,72232
1122,186830
1123,58294
1124,27113
1125,170387
1126,191670
1127,102818
1128,4940
1129,134509
1130,104738
1131,129972
1132,191300
1133,196143
1134,121831
1135,133486
1136,77390
1137,54971
1138,27460
1139,48157
1140,114556
1141,113190
1142,39871
1143,75528
1144,40775
1145,35494
1146,127674
1147,99958
1148,76789
1149,168894
1150,6285
1151,179275
1152,29306
1153,145403
1154,152814
1155,134955
1156,185160
1157,146545
1158,161434
1159,24710
1160,8660
1161,187972
1162,56392
1163,94400
1164,187185
1165,94872
1166,139504
1167,47062
1168,66591
1169,881
1170,27691
1171,144648
1172,7589
1173,155119
1174,59836
1175,177336
1176,163731
1177,195135
1178,144389
1179,36876
1180,117142
1181,191698
1182,158666
1183,6703
1184,134475
1185,88002
1186,49566
1187,120480
1188,60925
1189,138670
1190,80624
1191,142878
1192,136955
1193,101279
1194,90941
1195,127471
1196,110708
1197,7848
1198,125216
1199,105434
1200,74252
1201,189198
1202,115470
1203,54078
1204,48365
1205,124759
1206,119639
1207,113086
1208,194773
1209,2078
1210,166554
1211,168437
1212,32763
1213,161991
1214,55
1215,71867
1216,134264
1217,176637
1218,119187
1219,40190
1220,120993
1221,56447
1222,96240
1223,115385
1224,77743
1225,119873
1226,77828
1227,129245
1228,130954
1229,107471
1230,5278
1231,27084
1232,131032
1233,194355
1234,105451
1235,85394
1236,37645
1237,181910
1238,146210
1239,101176
1240,171466
1241,116253
1242,107083
1243,165430
1244,34085
1245,192042
1246,195383
1247,3331
1248,93401
1249,106597
1250,7468
1251,101102
1252,160070
1253,57024
1254,188951
1255,98201
1256,99932
1257,24622
1258,93543
1259,79237
1260,20241
1261,60745
1262,11558
1263,131679
1264,113199
1265,139703
1266,6141
1267,91683
1268,10715
1269,59923
1270,67716
1271,117553
1272,84784
1273,60526
1274,130962
1275,128793
1276,115274
1277,89285
1278,121894
1279,188283
1280,99856
1281,121770
1282,43498
1283,157130
1284,46086
1285,124716
1286,179349
1287,195422
1288,71697
1289,54312
1290,139699
1291,89882
1292,172836
1293,106611
1294,194924
1295,120725
1296,122699
1297,41592
1298,171741
1299,185966
1300,192955
1301,139800
1302,168040
1303,17443
1304,157338
1305,154165
1306,68112
1307,79944
1308,132230
1309,41019
1310,148141
1311,100905
1312,102674
1313,197444
1314,131620
1315,84704
1316,95003
1317,110903
1318,68919
1319,31424
1320,102565
1321,127037
1322,54381
1323,67072
1324,114089
1325,165720
1326,268
1327,87180
1328,9714
1329,35580
1330,190375
1331,140481
1332,163550
1333,85807
1334,51275
1335,122652
1336,151344
1337,50889
1338,53775
1339,74699
1340,16229
1341,128952
1342,122415
1343,103791
1344,23889
1345,76380
1346,84016
1347,74766
1348,36956
1349,146880
1350,38951
1351,37637
1352,24456
1353,136591
1354,163547
1355,45136
1356,25078
1357,36532
1358,76364
1359,76554
1360,148078
1361,197157
1362,98500
1363,46303
1364,9855
1365,93110
1366,171398
1367,187798
1368,3566
1369,30939
1370,32409
1371,144298
1372,152813
1373,111717
1374,42529
1375,16365
1376,155708
1377,33368
1378,124403
1379,129385
1380,136754
1381,139998
1382,175175
1383,157701
1384,151653
1385,96012
1386,73267
1387,127030
1388,35337
1389,77861
1390,166046
1391,187349
1392,103119
1393,88073
1394,73371
1395,107052
1396,3261
1397,197477
1398,80840
1399,168747
1400,80027
1401,99021
1402,24057
1403,184760
1404,14969
1405,132265
1406,160558
1407,166900
1408,186994
1409,96704
1410,140868
1411,61996
1412,105932
1413,195207
1414,62839
1415,176089
1416,15163
1417,187014
1418,53810
1419,69443
1420,13863
1421,99793
1422,162797
1423,87798
1424,131425
1425,180081
1426,164938
1427,97969
1428,99719
1429,40299
1430,103413
1431,23761
1432,19956
1433,66994
1434,30631
1435,9988
1436,45370
1437,112512
1438,109870
1439,180895
1440,39409
1441,33325
1442,93121
1443,132021
1444,184048
1445,111971
1446,105658
1447,80721
1448,7509
1449,135800
1450,69763
1451,512
1452,149797
1453,189818
1454,149000
1455,194943
1456,174201
1457,36999
1458,121168
1459,183098
1460,8960
1461,25985
1462,122444
1463,196238
1464,53572
1465,187760
1466,77819
1467,1725
1468,116469
1469,24381
1470,119649
1471,136128
1472,26053
1473,117578
1474,196587
1475,197586
1476,75650
1477,125940
1478,119550
1479,189464
1480,28114
1481,171657
1482,124609
1483,142072
1484,177521
1485,12012
1486,59422
1487,24954
1488,57863
1489,175434
1490,85308
1491,51777
1492,190557
1493,79135
1494,78045
1495,82251
1496,119724
1497,80924
1498,56137
1499,163213
1500,53881
1501,165193
1502,116826
1503,122085
1504,75271
1505,2418
1506,40184
1507,25895
1508,53222
1509,29226
1510,54091
1511,18552
1512,119786
1513,192844
1514,90643
1515,136099
1516,170790
1517,3216
1518,49625
1519,45397
1520,134934
1521,183938
1522,191902
1523,158430
1524,161613
1525,14718
1526,62008
1527,8247
1528,155158
1529,66748
1530,80627
1531,34622
1532,43767
1533,12181
1534,187547
1535,79679
1536,114442
1537,108545
1538,187482
1539,89787
1540,171805
1541,46446
1542,32073
1543,50037
1544,59867
1545,170165
1546,57439
1547,189900
1548,8428
1549,164033
1550,8526
1551,144608
1552,49772
1553,11054
1554,11211
1555,105539
1556,50362
1557,58972
1558,28904
1559,196571
1560,154659
1561,46621
1562,38113
1563,36405
1564,78905
1565,184576
1566,163278
1567,145805
1568,161374
1569,80
1570,116870
1571,147571
1572,163891
1573,37271
1574,14903
1575,35903
1576,9206
1577,97202
1578,126268
1579,153981
1580,35105
1581,63322
1582,187245
1583,34364
1584,141918
1585,70570
1586,50313
1587,196937
1588,84312
1589,86151
1590,11092
1591,54811
1592,159352
1593,143617
1594,83102
1595,14650
1596,141175
1597,16530
1598,49545
1599,18656
1600,17024
1601,105596
1602,57620
1603,100341
1604,101346
1605,78678
1606,11769
1607,94807
1608,41732
1609,30440
1610,121049
1611,154504
1612,158321
1613,186817
1614,190075
1615,157473
1616,151017
1617,140070
1618,60851
1619,192342
1620,12670
1621,135242
1622,103935
1623,50737
1624,128500
1625,87982
1626,58676
1627,31850
1628,123101
1629,105603
1630,73957
1631,102581
1632,162949
1633,137768
1634,148890
1635,97917
1636,146763
1637,61784
1638,131201
1639,190058
1640,55689
1641,40957
1642,97604
1643,150529
1644,134020
1645,12255
1646,169877
1647,76425
1648,52993
1649,161895
1650,181220
1651,86887
1652,150167
1653,187378
1654,137298
1655,38515
1656,190764
1657,38923
1658,42522
1659,152149
1660,1985
1661,12433
1662,362
1663,96613
1664,9871
1665,194886
1666,145539
1667,170406
1668,158392
1669,116496
1670,130292
1671,8713
1672,159040
1673,111707
1674,115110
1675,59226
1676,29327
1677,36280
1678,197028
1679,81610
1680,122358
1681,22549
1682,12064
1683,196988
1684,84063
1685,104442
1686,148017
1687,163296
1688,13089
1689,148457
1690,181057
1691,146648
1692,194085
1693,81527
1694,58740
1695,77910
1696,37300
1697,98325
1698,185459
1699,104553
1700,118816
1701,66000
1702,150819
1703,86266
1704,153380
1705,81406
1706,169486
1707,25225
1708,103700
1709,24211
1710,27398
1711,162267
1712,99537
1713,125561
1714,47740
1715,163345
1716,118105
1717,110567
1718,166426
1719,110624
1720,36530
1721,172510
1722,86299
1723,49856
1724,4878
1725,140197
1726,157086
1727,147276
1728,58034
1729,11023
1730,19847
1731,186121
1732,31408
1733,63405
1734,158101
1735,128490
1736,132633
1737,50346
1738,85478
1739,53078
1740,156006
1741,177879
1742,44894
1743,22206
1744,147954
1745,138851
1746,47883
1747,124117
1748,145575
1749,10487
1750,121505
1751,153111
1752,162798
1753,170589
1754,146360
1755,41658
1756,43159
1757,71499
1758,111451
1759,53142
1760,95354
1761,164013
1762,76764
1763,116823
1764,67223
1765,187998
1766,193122
1767,21509
1768,13533
1769,81161
1770,107787
1771,62348
1772,89050
1773,100013
1774,87334
1775,20167
1776,118929
1777,79646
1778,157676
1779,146324
1780,84359
1781,50456
1782,33411
1783,163690
1784,152665
1785,124483
1786,139410
1787,117905
1788,72518
1789,138773
1790,2561
1791,55489
1792,102165
1793,132046
1794,42204
1795,103659
1796,5715
1797,47524
1798,59365
1799,23341
1800,136969
1801,51658
1802,136240
1803,13728
1804,12277
1805,148653
1806,115473
1807,144825
1808,194284
1809,52859
1810,42081
1811,118858
1812,92249
1813,109409
1814,162404
1815,183764
1816,153343
1817,159934
1818,177743
1819,74325
1820,49809
1821,192325
1822,26149
1823,49776
1824,51359
1825,20008
1826,193502
1827,105589
1828,122032
1829,138750
1830,170454
1831,73509
1832,5737
1833,104993
1834,75097
1835,52663
1836,135225
1837,183182
1838,30784
1839,70280
1840,174993
1841,113437
1842,134372
1843,24538
1844,13471
1845,166068
1846,131837
1847,173884
1848,173684
1849,10966
1850,20017
1851,111522
1852,155549
1853,50697
1854,197439
1855,94579
1856,128627
1857,36680
1858,94625
1859,7742
1860,166655
1861,109666
1862,178045
1863,100734
1864,27362
1865,101150
1866,28692
1867,185118
1868,35216
1869,89168
1870,41565
1871,145513
1872,133912
1873,80770
1874,95579
1875,372
1876,124150
1877,184754
1878,29737
1879,29782
1880,149680
1881,119983
1882,139484
1883,51008
1884,190681
1885,79953
1886,178372
1887,116650
1888,75094
1889,22958
1890,160459
1891,190966
1892,43905
1893,19305
1894,174108
1895,87505
1896,50959
1897,47941
1898,94127
1899,117004
1900,53741
1901,147619
1902,33760
1903,73674
1904,29682
1905,150191
1906,171982
1907,17802
1908,101011
1909,28197
1910,56778
1911,97421
1912,129507
1913,72884
1914,74098
1915,114367
1916,46382
1917,39916
1918,125956
1919,24570
1920,182771
1921,39644
1922,183639
1923,24828
1924,50012
1925,22438
1926,188548
1927,78627
1928,32389
1929,97036
1930,109155
1931,154059
1932,81555
1933,152257
1934,5950
1935,86436
1936,156003
1937,23645
1938,57742
1939,174584
1940,31987
1941,43418
1942,104844
1943,94357
1944,126276
1945,708
1946,81467
1947,127461
1948,54991
1949,4992
1950,5430
1951,19470
1952,158507
1953,131982
1954,103628
1955,194154
1956,74482
1957,18793
1958,96963
1959,108206
1960,15033
1961,137721
1962,17771
1963,13817
1964,141729
1965,3209
1966,122574
1967,120354
1968,135776
1969,35298
1970,4930
1971,169119
1972,130042
1973,164564
1974,27857
1975,24351
1976,63157
1977,77410
1978,32675
1979,185589
1980,174658
1981,113213
1982,187934
1983,106161
1984,101883
1985,43964
1986,68029
1987,80765
1988,13582
1989,195326
1990,139604
1991,76026
1992,42672
1993,122691
1994,24416
1995,121329
1996,6437
1997,88992
1998,84317
1999,130515
2000,31554
2001,62549
2002,176804
2003,170967
2004,173132
2005,122223
2006,63821
2007,41779
2008,162281
2009,148958
2010,72303
2011,57020
2012,196123
2013,18368
2014,83389
2015,151250
2016,62849
2017,177372
2018,46385
2019,146288
2020,155804
2021,135086
2022,12022
2023,138812
2024,173278
2025,138942
2026,154515
2027,28468
2028,100012
2029,62586
2030,128037
2031,109656
2032,129258
2033,168704
2034,72063
2035,183052
2036,138922
2037,155485
2038,37083
2039,153024
2040,71616
2041,13702
2042,91100
2043,144425
2044,19543
2045,84457
2046,136473
2047,110857
2048,166530
2049,96605
2050,29206
2051,192912
2052,151442
2053,69554
2054,57464
2055,99900
2056,135759
2057,4634
2058,118670
2059,31108
2060,39614
2061,5749
2062,197649
2063,71519
2064,27762
2065,197764
2066,133323
2067,196465
2068,61772
2069,11727
2070,189728
2071,52949
2072,159660
2073,5522
2074,29783
2075,47103
2076,171176
2077,116941
2078,168162
2079,61953
2080,90020
2081,90053
2082,112825
2083,107229
2084,135960
2085,15700
2086,115841
2087,160099
2088,14169
2089,10096
2090,108599
2091,92143
2092,63115
2093,133217
2094,112722
2095,29027
2096,144452
2097,131151
2098,43847
2099,136552
2100,108895
2101,42918
2102,1366
2103,85960
2104,13515
2105,60724
2106,63354
2107,103815
2108,55830
2109,166567
2110,6484
2111,89639
2112,9345
2113,151232
2114,118875
2115,25578
2116,160277
2117,127067
2118,156129
2119,138184
2120,124946
2121,90341
2122,107604
2123,160891
2124,40714
2125,106550
2126,93622
2127,162574
2128,162848
2129,176467
2130,146404
2131,849
2132,191512
2133,160058
2134,29409
2135,73912
2136,53228
2137,62524
2138,71690
2139,179163
2140,131650
2141,20380
2142,119273
2143,82912
2144,180442
2145,57890
2146,4095
2147,104437
2148,114225
2149,75021
2150,11060
2151,196114
2152,5318
2153,50938
2154,148182
2155,158128
2156,40394
2157,86933
2158,33661
2159,108371
2160,90381
2161,81087
2162,52601
2163,118229
2164,137293
2165,89585
2166,62527
2167,172227
2168,88654
2169,119976
2170,162174
2171,120874
2172,100691
2173,82872
2174,74474
2175,144251
2176,91340
2177,27306
2178,78618
2179,99970
2180,104981
2181,4129
2182,2719
2183,134419
2184,87499
2185,105538
2186,104742
2187,135699
2188,80754
2189,59264
2190,117683
2191,177476
2192,122885
2193,12636
2194,153166
2195,1643
2196,140544
2197,106646
2198,65441
2199,8883
2200,155569
2201,88155
2202,107738
2203,30045
2204,129137
2205,8918
2206,63426
2207,147333
2208,103603
2209,80192
2210,176436
2211,150067
2212,23711
2213,49857
2214,119014
2215,183504
2216,170107
2217,182475
2218,178616
2219,130847
2220,177340
2221,117073
2222,137857
2223,137922
2224,17572
2225,182708
2226,177059
2227,30495
2228,12498
2229,84436
2230,89462
2231,87271
2232,60373
2233,76770
2234,194681
2235,12990
2236,62031
2237,72398
2238,104920
2239,178673
2240,162626
2241,197203
2242,154152
2243,72684
2244,109414
2245,111304
2246,43882
2247,154993
2248,121514
2249,55039
2250,150174
2251,68263
2252,96515
2253,7287
2254,42422
2255,84478
2256,178394
2257,114025
2258,102364
2259,44743
2260,192763
2261,42036
2262,80002
2263,160289
2264,92796
2265,74767
2266,8364
2267,110184
2268,125072
2269,187340
2270,165892
2271,57884
2272,95664
2273,148369
2274,35140
2275,17645
2276,36458
2277,99571
2278,76904
2279,57984
2280,186277
2281,80381
2282,166920
2283,157435
2284,185768
2285,125458
2286,174140
2287,32417
2288,108893
2289,83322
2290,70107
2291,134452
2292,154210
2293,71414
2294,13932
2295,37855
2296,109990
2297,129843
2298,186181
2299,131539
2300,188918
2301,195604
2302,150637
2303,1894
2304,85278
2305,85798
2306,63669
2307,77252
2308,94965
2309,111009
2310,111454
2311,154821
2312,98534
2313,172016
2314,51463
2315,73690
2316,21348
2317,66634
2318,84377
2319,172538
2320,144691
2321,170031
2322,110293
2323,171942
2324,112773
2325,82093
2326,188760
2327,77497
2328,37664
2329,114915
2330,164610
2331,161635
2332,113112
2333,35458
2334,40723
2335,95644
2336,131411
2337,195898
2338,196966
2339,82533
2340,183795
2341,51620
2342,8872
2343,121183
2344,182234
2345,134148
2346,187454
2347,149329
2348,44023
2349,40835
2350,6667
2351,94802
2352,18074
2353,106059
2354,31824
2355,84604
2356,3931
2357,185829
2358,86235
2359,112661
2360,57522
2361,95071
2362,147753
2363,140640
2364,39906
2365,10454
2366,135953
2367,109448
2368,93281
2369,185662
2370,31072
2371,8783
2372,59373
2373,68822
2374,18212
2375,75478
2376,145595
2377,121014
2378,174205
2379,178534
2380,44394
2381,81131
2382,122413
2383,9258
2384,77688
2385,24310
2386,65466
2387,177393
2388,78139
2389,133878
2390,129266
2391,35737
2392,139974
2393,2678
2394,104645
2395,74426
2396,112235
2397,74366
2398,185152
2399,108336
2400,140303
2401,181545
2402,169916
2403,39235
2404,131945
2405,139960
2406,187237
2407,85766
2408,69140
2409,191436
2410,86644
2411,155784
2412,86743
2413,102540
2414,177434
2415,66141
2416,109533
2417,177192
2418,124605
2419,91755
2420,139617
2421,4387
2422,122452
2423,191330
2424,37785
2425,158025
2426,153997
2427,152331
2428,54050
2429,18771
2430,146887
2431,105001
2432,177220
2433,18761
2434,62251
2435,192250
2436,61002
2437,126837
2438,151311
2439,102371
2440,118756
2441,127044
2442,176381
2443,146154
2444,192006
2445,133510
2446,125950
2447,141044
2448,182543
2449,84615
2450,118507
2451,106871
2452,126828
2453,176264
2454,13957
2455,159697
2456,19621
2457,69947
2458,137807
2459,128761
2460,145136
2461,45596
2462,90169
2463,94183
2464,194159
2465,36092
2466,94553
2467,98764
2468,30765
2469,81946
2470,126362
2471,191665
2472,127978
2473,5299
2474,19898
2475,158444
2476,171073
2477,92865
2478,125111
2479,61255
2480,151837
2481,134599
2482,100351
2483,88818
2484,60917
2485,163370
2486,185869
2487,176990
2488,158566
2489,184706
2490,149092
2491,158699
2492,152728
2493,64258
2494,177149
2495,117863
2496,88026
2497,172961
2498,91110
2499,191775
2500,96060
2501,65967
